order_release_id,anomaly_type,description
8340314121,Shipped order not settled,Order 8340314121 from 2025-02 was shipped but not settled
8338953151,Shipped order not settled,Order 8338953151 from 2025-02 was shipped but not settled
8325375589,Shipped order not settled,Order 8325375589 from 2025-02 was shipped but not settled
8324863700,Shipped order not settled,Order 8324863700 from 2025-02 was shipped but not settled
8307327990,Shipped order not settled,Order 8307327990 from 2025-02 was shipped but not settled
8333594126,Shipped order not settled,Order 8333594126 from 2025-02 was shipped but not settled
8332333869,Shipped order not settled,Order 8332333869 from 2025-02 was shipped but not settled
8329401695,Shipped order not settled,Order 8329401695 from 2025-02 was shipped but not settled
8332176608,Shipped order not settled,Order 8332176608 from 2025-02 was shipped but not settled
8329267644,Shipped order not settled,Order 8329267644 from 2025-02 was shipped but not settled
8321282171,Shipped order not settled,Order 8321282171 from 2025-02 was shipped but not settled
8323717267,Shipped order not settled,Order 8323717267 from 2025-02 was shipped but not settled
8339001942,Shipped order not settled,Order 8339001942 from 2025-02 was shipped but not settled
8301573378,Shipped order not settled,Order 8301573378 from 2025-02 was shipped but not settled
8334165180,Shipped order not settled,Order 8334165180 from 2025-02 was shipped but not settled
8332338388,Shipped order not settled,Order 8332338388 from 2025-02 was shipped but not settled
8324587405,Shipped order not settled,Order 8324587405 from 2025-02 was shipped but not settled
8323818987,Shipped order not settled,Order 8323818987 from 2025-02 was shipped but not settled
8321122797,Shipped order not settled,Order 8321122797 from 2025-02 was shipped but not settled
8340464818,Shipped order not settled,Order 8340464818 from 2025-02 was shipped but not settled
8334233338,Shipped order not settled,Order 8334233338 from 2025-02 was shipped but not settled
8332276905,Shipped order not settled,Order 8332276905 from 2025-02 was shipped but not settled
8325746480,Shipped order not settled,Order 8325746480 from 2025-02 was shipped but not settled
8301783560,Shipped order not settled,Order 8301783560 from 2025-02 was shipped but not settled
8339014837,Shipped order not settled,Order 8339014837 from 2025-02 was shipped but not settled
8339701089,Shipped order not settled,Order 8339701089 from 2025-02 was shipped but not settled
8332921667,Shipped order not settled,Order 8332921667 from 2025-02 was shipped but not settled
8321757024,Shipped order not settled,Order 8321757024 from 2025-02 was shipped but not settled
8339833731,Shipped order not settled,Order 8339833731 from 2025-02 was shipped but not settled
8322700805,Shipped order not settled,Order 8322700805 from 2025-02 was shipped but not settled
8312859678,Shipped order not settled,Order 8312859678 from 2025-02 was shipped but not settled
8334090090,Shipped order not settled,Order 8334090090 from 2025-02 was shipped but not settled
8330415979,Shipped order not settled,Order 8330415979 from 2025-02 was shipped but not settled
8340793256,Shipped order not settled,Order 8340793256 from 2025-02 was shipped but not settled
8340331210,Shipped order not settled,Order 8340331210 from 2025-02 was shipped but not settled
8315005059,Shipped order not settled,Order 8315005059 from 2025-02 was shipped but not settled
8333587390,Shipped order not settled,Order 8333587390 from 2025-02 was shipped but not settled
8323698483,Shipped order not settled,Order 8323698483 from 2025-02 was shipped but not settled
8338371816,Shipped order not settled,Order 8338371816 from 2025-02 was shipped but not settled
8329428661,Shipped order not settled,Order 8329428661 from 2025-02 was shipped but not settled
8325800315,Shipped order not settled,Order 8325800315 from 2025-02 was shipped but not settled
8312911547,Shipped order not settled,Order 8312911547 from 2025-02 was shipped but not settled
8327429346,Shipped order not settled,Order 8327429346 from 2025-02 was shipped but not settled
8334437288,Shipped order not settled,Order 8334437288 from 2025-02 was shipped but not settled
8336458053,Shipped order not settled,Order 8336458053 from 2025-02 was shipped but not settled
8322289139,Shipped order not settled,Order 8322289139 from 2025-02 was shipped but not settled
8334205072,Shipped order not settled,Order 8334205072 from 2025-02 was shipped but not settled
8337814659,Shipped order not settled,Order 8337814659 from 2025-02 was shipped but not settled
8339002559,Shipped order not settled,Order 8339002559 from 2025-02 was shipped but not settled
8332333886,Shipped order not settled,Order 8332333886 from 2025-02 was shipped but not settled
8328196876,Shipped order not settled,Order 8328196876 from 2025-02 was shipped but not settled
8336009597,Shipped order not settled,Order 8336009597 from 2025-02 was shipped but not settled
8331997637,Shipped order not settled,Order 8331997637 from 2025-02 was shipped but not settled
8333276619,Shipped order not settled,Order 8333276619 from 2025-02 was shipped but not settled
8337433020,Shipped order not settled,Order 8337433020 from 2025-02 was shipped but not settled
8328049453,Shipped order not settled,Order 8328049453 from 2025-02 was shipped but not settled
8331767834,Shipped order not settled,Order 8331767834 from 2025-02 was shipped but not settled
8326600534,Shipped order not settled,Order 8326600534 from 2025-02 was shipped but not settled
8338224619,Shipped order not settled,Order 8338224619 from 2025-02 was shipped but not settled
8337756446,Shipped order not settled,Order 8337756446 from 2025-02 was shipped but not settled
8329279729,Shipped order not settled,Order 8329279729 from 2025-02 was shipped but not settled
8321571031,Shipped order not settled,Order 8321571031 from 2025-02 was shipped but not settled
8329949313,Shipped order not settled,Order 8329949313 from 2025-02 was shipped but not settled
8331320133,Shipped order not settled,Order 8331320133 from 2025-02 was shipped but not settled
8335402642,Shipped order not settled,Order 8335402642 from 2025-02 was shipped but not settled
8324173193,Shipped order not settled,Order 8324173193 from 2025-02 was shipped but not settled
8338902434,Shipped order not settled,Order 8338902434 from 2025-02 was shipped but not settled
8327914232,Shipped order not settled,Order 8327914232 from 2025-02 was shipped but not settled
8340163393,Shipped order not settled,Order 8340163393 from 2025-02 was shipped but not settled
8319970351,Shipped order not settled,Order 8319970351 from 2025-02 was shipped but not settled
8338322093,Shipped order not settled,Order 8338322093 from 2025-02 was shipped but not settled
8338950307,Shipped order not settled,Order 8338950307 from 2025-02 was shipped but not settled
8329423392,Shipped order not settled,Order 8329423392 from 2025-02 was shipped but not settled
8338079109,Shipped order not settled,Order 8338079109 from 2025-02 was shipped but not settled
8323240215,Shipped order not settled,Order 8323240215 from 2025-02 was shipped but not settled
8336617887,Shipped order not settled,Order 8336617887 from 2025-02 was shipped but not settled
8326767489,Shipped order not settled,Order 8326767489 from 2025-02 was shipped but not settled
8326266501,Shipped order not settled,Order 8326266501 from 2025-02 was shipped but not settled
8337630439,Shipped order not settled,Order 8337630439 from 2025-02 was shipped but not settled
8324065836,Shipped order not settled,Order 8324065836 from 2025-02 was shipped but not settled
8337623595,Shipped order not settled,Order 8337623595 from 2025-02 was shipped but not settled
8331480463,Shipped order not settled,Order 8331480463 from 2025-02 was shipped but not settled
8339675154,Shipped order not settled,Order 8339675154 from 2025-02 was shipped but not settled
8339114471,Shipped order not settled,Order 8339114471 from 2025-02 was shipped but not settled
8336120611,Shipped order not settled,Order 8336120611 from 2025-02 was shipped but not settled
8340512190,Shipped order not settled,Order 8340512190 from 2025-02 was shipped but not settled
8323890514,Shipped order not settled,Order 8323890514 from 2025-02 was shipped but not settled
8336390808,Shipped order not settled,Order 8336390808 from 2025-02 was shipped but not settled
8337416602,Shipped order not settled,Order 8337416602 from 2025-02 was shipped but not settled
8325787773,Shipped order not settled,Order 8325787773 from 2025-02 was shipped but not settled
8339682271,Shipped order not settled,Order 8339682271 from 2025-02 was shipped but not settled
8324416456,Shipped order not settled,Order 8324416456 from 2025-02 was shipped but not settled
8322843677,Shipped order not settled,Order 8322843677 from 2025-02 was shipped but not settled
8331539073,Shipped order not settled,Order 8331539073 from 2025-02 was shipped but not settled
8339991113,Shipped order not settled,Order 8339991113 from 2025-02 was shipped but not settled
8337515511,Shipped order not settled,Order 8337515511 from 2025-02 was shipped but not settled
8324073837,Shipped order not settled,Order 8324073837 from 2025-02 was shipped but not settled
8324341156,Shipped order not settled,Order 8324341156 from 2025-02 was shipped but not settled
8325490167,Shipped order not settled,Order 8325490167 from 2025-02 was shipped but not settled
8323284220,Shipped order not settled,Order 8323284220 from 2025-02 was shipped but not settled
8338223546,Shipped order not settled,Order 8338223546 from 2025-02 was shipped but not settled
8322421332,Shipped order not settled,Order 8322421332 from 2025-02 was shipped but not settled
8331785780,Shipped order not settled,Order 8331785780 from 2025-02 was shipped but not settled
8322382304,Shipped order not settled,Order 8322382304 from 2025-02 was shipped but not settled
8334731955,Shipped order not settled,Order 8334731955 from 2025-02 was shipped but not settled
8336596322,Shipped order not settled,Order 8336596322 from 2025-02 was shipped but not settled
8326363058,Shipped order not settled,Order 8326363058 from 2025-02 was shipped but not settled
8332011403,Shipped order not settled,Order 8332011403 from 2025-02 was shipped but not settled
