order_release_id,order_line_id,return_type,return_date,packet_id,customer_paid_amount,total_settlement,total_actual_settlement,amount_pending_settlement,prepaid_commission_deduction,prepaid_logistics_deduction,prepaid_payment,postpaid_commission_deduction,postpaid_logistics_deduction,postpaid_payment,return_id,upload_timestamp
8302720103,10302691410,return_refund,2025-02-09 09:17:18,9658615092,798.998,-747.412,-747.412,0.0,0.939,-0.6077,-5.14,145.049,-93.7923,-793.86,100014341995,2025-03-31 15:59:51.184547
8283054651,10283025696,exchange,2025-01-18 16:37:21,9652090370,799.008,-723.811,-723.811,0.0,145.989,-70.8,-799.0,0.0,0.0,0.0,100010098665,2025-03-31 15:59:51.184547
8322826828,10322798345,return_refund,2025-02-18 12:56:15,9664958021,899.01,-805.54,-805.54,0.0,164.26,-70.8,-899.0,0.0,0.0,0.0,100016826919,2025-03-31 15:59:51.184547
8318669520,10318640968,return_refund,2025-02-16 09:22:53,9663651818,799.008,-747.412,-747.412,0.0,133.929,-86.60256,-733.0,12.059,-7.79744,-66.0,100016398666,2025-03-31 15:59:51.184547
8296313191,10296284456,return_refund,2025-01-31 05:15:08,9656464504,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100012058987,2025-03-31 15:59:51.184547
8300919491,10300890796,exchange,2025-02-05 12:50:28,9658105954,798.998,-747.412,-747.412,0.0,124.063,-80.2223,-679.0,21.925,-14.1777,-120.0,100013863108,2025-03-31 15:59:51.184547
8305276097,10305247416,return_refund,2025-02-08 12:28:10,9659533237,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100014259500,2025-03-31 15:59:51.184547
8311894199,10311865588,return_refund,2025-02-12 12:58:07,9661571425,698.996,-642.082,-642.082,0.0,127.718,-70.8,-699.0,0.0,0.0,0.0,100015256692,2025-03-31 15:59:51.184547
8311390495,10311361877,return_refund,2025-02-09 09:19:03,9661298053,699.006,-642.082,-642.082,0.0,127.718,-70.8,-699.0,0.0,0.0,0.0,100014617532,2025-03-31 15:59:51.184547
8299099619,10299070917,return_refund,2025-02-03 08:55:51,9657335199,949.001,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100013012419,2025-03-31 15:59:51.184547
8292279106,10292250332,exchange,2025-01-26 12:03:51,9655179029,649.005,-624.819,-624.819,0.0,118.581,-94.4,-649.0,0.0,0.0,0.0,100011101544,2025-03-31 15:59:51.184547
8323453789,10323425314,return_refund,2025-02-17 11:56:56,9665119662,799.008,-712.011,-712.011,0.0,131.372,-53.09292,-719.0,14.617,-5.90708,-80.0,100016784311,2025-03-31 15:59:51.184547
8299948583,10299919885,return_refund,2025-02-02 06:51:17,9657653237,699.006,-630.283,-630.283,0.0,114.927,-53.09174,-629.0,12.79,-5.90826,-70.0,100012530470,2025-03-31 15:59:51.184547
8299048821,10299020118,return_refund,2025-02-07 12:11:45,9657321625,599.004,-548.555,-548.555,0.0,0.0,0.0,0.0,109.445,-59.0,-599.0,100014128769,2025-03-31 15:59:51.184547
8323286897,10323258420,return_refund,2025-02-21 11:39:19,9665132982,899.01,-805.54,-805.54,0.0,156.769,-67.57152,-858.0,7.491,-3.22848,-41.0,100017758105,2025-03-31 15:59:51.184547
8306511524,10306482845,return_refund,2025-02-14 07:53:51,9659823234,848.999,-776.475,-776.475,0.0,0.0,0.0,0.0,155.125,-82.6,-849.0,100015683810,2025-03-31 15:59:51.184547
8296943441,10296914723,return_refund,2025-02-11 10:15:30,9656655226,599.004,-560.355,-560.355,0.0,109.445,-70.8,-599.0,0.0,0.0,0.0,100015175524,2025-03-31 15:59:51.184547
8294490978,10294462231,return_refund,2025-02-01 04:55:13,9655835409,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100012057753,2025-03-31 15:59:51.184547
8286420382,10286391519,return_refund,2025-01-23 09:45:32,9653288313,899.0,-846.84,-846.84,0.0,164.26,-112.1,-899.0,0.0,0.0,0.0,100010231910,2025-03-31 15:59:51.184547
8320692483,10320663976,return_refund,2025-02-17 08:41:06,9664330439,599.004,-601.655,-601.655,0.0,0.0,0.0,0.0,109.445,-112.1,-599.0,100016577025,2025-03-31 15:59:51.184547
8312052115,10312023504,return_refund,2025-02-16 07:54:30,9661559943,949.001,-846.403,-846.403,0.0,161.52,-65.9502,-884.0,11.877,-4.8498,-65.0,100016282052,2025-03-31 15:59:51.184547
8309183416,10309154774,return_refund,2025-02-11 06:54:57,9660677915,798.998,-723.811,-723.811,0.0,145.989,-70.8,-799.0,0.0,0.0,0.0,100015104848,2025-03-31 15:59:51.184547
8315805284,10315776716,return_refund,2025-02-16 08:29:58,9662693366,948.99,-846.404,-846.404,0.0,173.396,-70.8,-949.0,0.0,0.0,0.0,100015854494,2025-03-31 15:59:51.184547
8314178024,10314149428,return_refund,2025-02-14 13:46:09,9662134517,798.998,-723.811,-723.811,0.0,131.189,-63.62206,-718.0,14.8,-7.17794,-81.0,100016026491,2025-03-31 15:59:51.184547
8303055814,10303027121,return_refund,2025-02-03 14:47:32,9658619537,799.008,-712.011,-712.011,0.0,145.989,-59.0,-799.0,0.0,0.0,0.0,100012963138,2025-03-31 15:59:51.184547
8307798100,10307769430,exchange,2025-02-07 12:05:35,9660181313,798.998,-747.411,-747.411,0.0,145.989,-94.4,-799.0,0.0,0.0,0.0,100014321837,2025-03-31 15:59:51.184547
8289057357,10289028543,return_refund,2025-02-04 07:47:47,9654161683,949.001,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100013231713,2025-03-31 15:59:51.184547
8319122543,10319093999,exchange,2025-02-14 13:08:11,9663699304,599.004,-560.355,-560.355,0.0,109.445,-70.8,-599.0,0.0,0.0,0.0,100016671976,2025-03-31 15:59:51.184547
8307193707,10307165034,return_refund,2025-02-13 11:21:15,9660007281,699.006,-630.282,-630.282,0.0,127.718,-59.0,-699.0,0.0,0.0,0.0,100014320023,2025-03-31 15:59:51.184547
