order_release_id,order line id,order status,final amount,total mrp,discount,coupon discount,shipping charge,gift charge,tax recovery,is_ship_rel,source_file
8311687081,10311658467,C,949,2899,1950,0,0,0,0,1,2025-02
8303859883,10303831193,C,799,1549,750,17,0,0,0,1,2025-02
8340314121,10340285804,C,599,1499,900,120,0,0,0,1,2025-02
8310544546,10310515922,C,799,2499,1700,0,0,0,0,1,2025-02
8313123413,10313094814,C,949,2899,1950,95,0,0,0,1,2025-02
8318643179,10318614627,C,799,2599,1800,0,0,0,0,1,2025-02
8303786223,10303757533,C,599,1499,900,0,0,0,0,1,2025-02
8322768783,10322740298,C,799,1899,1100,0,0,0,0,1,2025-02
8338953151,10338924816,C,799,2499,1700,0,0,0,0,1,2025-02
8306834461,10306805787,C,799,2699,1900,0,0,0,0,1,2025-02
8325375589,10325347129,C,799,1549,750,0,0,0,0,1,2025-02
8324863700,10324835236,C,649,1499,850,0,0,0,0,1,2025-02
8307327990,10307299317,F,599,1799,1200,120,0,0,0,1,2025-02
8333594126,10333565741,C,949,2899,1950,0,0,0,0,1,2025-02
8332333869,10332305475,RTO,599,1799,1200,0,0,0,0,1,2025-02
8321870452,10321841959,C,849,2699,1850,0,0,0,0,1,2025-02
8308976458,10308947815,C,799,1899,1100,0,0,0,0,1,2025-02
8315500615,10315472040,C,699,1399,700,0,0,0,0,1,2025-02
8329401695,10329373269,RTO,649,1499,850,0,0,0,0,1,2025-02
8332176608,10332148212,C,649,1499,850,0,0,0,0,1,2025-02
8322726713,10322698227,C,949,2899,1950,46,0,0,0,1,2025-02
8329267644,10329239218,C,849,2699,1850,0,0,0,0,1,2025-02
8318714632,10318686080,C,899,2899,2000,108,0,0,0,1,2025-02
8321282171,10321253672,C,599,1399,800,0,0,0,0,1,2025-02
8323717267,10323688793,C,949,2899,1950,0,0,0,0,1,2025-02
8313570357,10313541757,C,799,2299,1500,23,0,0,0,1,2025-02
8339001942,10338973607,C,799,2299,1500,0,0,0,0,1,2025-02
8301573378,10301544684,RTO,849,2699,1850,0,0,0,0,1,2025-02
8319784546,10319756007,C,799,2299,1500,25,0,0,0,1,2025-02
8315905236,10315876670,C,949,2899,1950,0,0,0,0,1,2025-02
8334165180,10334136797,C,949,2899,1950,0,0,0,0,1,2025-02
8332338388,10332309994,C,649,1599,950,0,0,0,0,1,2025-02
8324587405,10324558937,C,599,1399,800,0,0,0,0,1,2025-02
8323818987,10323790513,C,799,1549,750,0,0,0,0,1,2025-02
8313953968,10313925371,C,799,2499,1700,0,0,0,0,1,2025-02
8321122797,10321094296,C,599,1499,900,0,0,0,0,1,2025-02
8340464818,10340436502,C,799,1899,1100,0,0,0,0,1,2025-02
8334233338,10334204956,C,799,2699,1900,0,0,0,0,1,2025-02
8332276905,10332248510,C,949,2899,1950,0,0,0,0,1,2025-02
8325746480,10325718023,C,799,2699,1900,0,0,0,0,1,2025-02
8319439118,10319410576,C,599,1499,900,0,0,0,0,1,2025-02
8318364363,10318335805,C,599,1799,1200,0,0,0,0,1,2025-02
8301783560,10301754866,RTO,799,1549,750,0,0,0,0,1,2025-02
8319608204,10319579663,C,599,1799,1200,0,0,0,0,1,2025-02
8339014837,10338986502,C,599,1399,800,0,0,0,0,1,2025-02
