order_release_id,return_settlement_amount,source_file
8302720103,-747.412,02-2025
8312052115,-846.403,02-2025
8298593399,-723.811,02-2025
8291556012,-747.411,02-2025
8297959962,-870.004,02-2025
8320084056,-723.812,02-2025
8306183121,-747.411,02-2025
8290894746,-583.955,02-2025
8296009650,-747.411,02-2025
8316511689,-747.411,02-2025
8317506273,-583.955,02-2025
8290304699,-712.011,02-2025
8296830244,-712.011,02-2025
8313079575,-601.654,02-2025
8305086319,-723.811,02-2025
8298969374,-601.655,02-2025
8320115364,-712.011,02-2025
8273526869,-519.926,02-2025
8288193012,-723.811,02-2025
8308794022,-723.811,02-2025
8313463518,-712.011,02-2025
8290709038,-747.411,02-2025
8313724207,-887.269,02-2025
8313523145,-712.011,02-2025
8292299332,-846.404,02-2025
8310430673,-712.011,02-2025
8298518502,-601.655,02-2025
8293304335,-665.682,02-2025
8303811770,-870.004,02-2025
8316387842,-723.811,02-2025
8288841252,-747.411,02-2025
8294782664,-601.655,02-2025
8287154024,-747.411,02-2025
8319239711,-642.082,02-2025
8320244951,-846.404,02-2025
8311287963,-846.404,02-2025
8303829197,-805.975,02-2025
8290359538,-776.475,02-2025
8322277912,-834.604,02-2025
8291836669,-846.404,02-2025
8298134360,-572.155,02-2025
8295501773,-887.269,02-2025
8316799246,-583.955,02-2025
8301123399,-846.84,02-2025
8311085509,-747.411,02-2025
8283703023,-723.811,02-2025
8311923162,-747.411,02-2025
8311887743,-747.411,02-2025
8291291143,-560.355,02-2025
8298380936,-601.655,02-2025
8317017269,-642.082,02-2025
8310061707,-870.004,02-2025
8311704229,-712.011,02-2025
8315994413,-887.269,02-2025
8300889980,-899.069,02-2025
8300062584,-601.655,02-2025
8308324764,-572.153,02-2025
8314027371,-846.404,02-2025
8306594866,-572.155,02-2025
8296901967,-642.082,02-2025
8320862113,-589.419,02-2025
8290470205,-870.004,02-2025
8287983631,-642.083,02-2025
8291726700,-548.555,02-2025
8309183419,-642.082,02-2025
8314659325,-572.154,02-2025
8311364402,-548.555,02-2025
8295920929,-572.155,02-2025
8299471104,-747.411,02-2025
8315597923,-910.869,02-2025
8300536286,-910.869,02-2025
8313079576,-601.654,02-2025
8307284866,-723.811,02-2025
8296346667,-846.404,02-2025
8318992840,-624.819,02-2025
8292259220,-665.682,02-2025
8315112885,-846.404,02-2025
8317253000,-601.655,02-2025
