order_release_id,customer_paid_amount,total_commission_plus_tcs_tds_deduction,total_logistics_deduction,vendor_payout_amount,source_file
8310718513,949.001,-173.396,-88.205,687.399,02-2025
8310805788,599.0039999999999,-109.445,-80.24,409.315,02-2025
8313507283,949.001,-173.395,-84.96,690.645,02-2025
8318032620,499.002,-91.174,-87.32,320.506,02-2025
8296115082,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8301216798,798.998,-145.989,-86.1164,566.8946,02-2025
8309209260,599.004,-109.445,-87.2964,402.2586,02-2025
8317840061,798.998,-145.989,-176.9764,476.0346,02-2025
8323453789,799.008,-145.989,-84.96,568.051,02-2025
8293547946,799.008,-145.989,-80.2164,572.7946,02-2025
8304285337,949.001,-173.396,-181.72,593.884,02-2025
8319298046,849.0100000000001,-155.124,-92.04,601.836,02-2025
8316799246,599.004,-109.445,-167.5364,322.0186,02-2025
8300099016,798.998,-145.989,-181.72,471.291,02-2025
8293589338,798.998,-145.989,-181.72,471.291,02-2025
8294529599,599.004,-109.445,-167.5364,322.0186,02-2025
8297206859,949.001,-173.396,-181.72,593.884,02-2025
8319765024,599.0039999999999,-109.445,-79.6264,409.9286,02-2025
8320017297,999.002,-182.531,-181.6964,634.7726,02-2025
8315172344,799.008,-145.989,-80.2164,572.7946,02-2025
8292791839,698.9960000000001,-127.717,-177.0,394.283,02-2025
8299255380,999.002,-182.531,-218.2764,598.1926000000001,02-2025
8308736904,798.998,-145.989,-86.1164,566.8946,02-2025
8291403738,798.998,-145.989,-176.9764,476.0346,02-2025
8294595192,798.998,-145.989,-181.72,471.291,02-2025
8296578513,699.0060000000001,-127.718,-79.0364,492.2456,02-2025
8316758682,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8319765023,599.0039999999999,-109.445,-79.6264,409.9286,02-2025
8295181885,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8314745493,599.004,-109.445,-87.32,402.235,02-2025
8303929103,649.005,-118.581,-84.37,446.049,02-2025
8310369762,948.99,-173.396,-83.7564,691.8476,02-2025
8316727810,799.008,-145.985,-80.2164,572.7786,02-2025
